sample_id,force_x_mean,force_x_std,force_x_rms,force_x_max,force_y_mean,force_y_std,force_y_rms,force_y_max,force_z_mean,force_z_std,force_z_rms,force_z_max,vib_x_mean,vib_x_std,vib_x_rms,vib_x_max,vib_y_mean,vib_y_std,vib_y_rms,vib_y_max,vib_z_mean,vib_z_std,vib_z_rms,vib_z_max,ae_rms_mean,ae_rms_std,ae_rms_rms,ae_rms_max,wear,wear_level,rul
train_0000,-0.3280164141190983,70.92677954972686,70.92753803751744,107.24058437060731,0.7778593000591985,56.487854083584345,56.49320953936858,84.90078750739664,0.32846612515217044,105.1215779825811,105.12209114902183,157.14020518595473,-0.0024961692634832815,0.3795308010044549,0.3795390095524768,0.6490236786308134,-0.0016179739506311636,0.3080770650561934,0.3080813137036113,0.6019459801226448,-0.006966319088610465,0.4772878216719047,0.4773386578918119,0.848887633236469,0.2099197555729047,0.045668592502454704,0.21482998887711957,0.3263466212936811,0.0,0,300.8355904015843
train_0001,0.6169060132593314,70.6113864162807,70.61408120664395,107.9456254600947,0.9205102766927149,56.74459378943761,56.75205955291647,89.65285106914328,0.42953296251374584,106.16680338173866,106.16767228710745,162.89074158260794,-0.0018552541715559333,0.34701263109033365,0.34701759048249564,0.6435521662396589,0.023102474285040298,0.29330239854313567,0.29421084498918004,0.5911471823428711,0.003223761676771575,0.45694441205715036,0.45695578380145646,0.9328829125140732,0.20650637744079162,0.04651101299798938,0.21167937607102358,0.3115471358748907,4.8567003822523285,0,295.1432996177477
train_0002,-0.292843318016631,72.12051788830817,72.12111242685242,108.89416804282054,0.5702481960962291,56.906960963940385,56.90981803833664,89.10194328889092,-0.34517824934912333,106.17159554402578,106.17215665318294,161.04161587734313,0.0036732218079676806,0.37198066924507095,0.3719988049046145,0.684193079977666,0.0010165150656694464,0.306280388008062,0.3062820748611445,0.5033388444383965,0.007895555565741445,0.48338259028093444,0.48344706885490313,0.9612780883159066,0.20698596557749102,0.04594446809383701,0.21202378190776597,0.33703965455149876,0.0,0,302.08341564288247
train_0003,0.5038157540779314,70.00130452154274,70.00311753794838,108.30185219487508,0.2915922853640188,56.7308878993939,56.731637275108504,88.77846772539455,-0.8773862236879614,107.17766847381189,107.18125967755674,162.8017076711886,-0.010806236096911098,0.36656483739117773,0.3667240853151082,0.6342757524885823,0.015692501446230325,0.3026642257469909,0.30307076425921625,0.586645071531855,0.005490608275952366,0.4636461670963645,0.46367867650172345,0.942517798247057,0.2092643335110118,0.05489664178822021,0.21634510061342307,0.33457782757922117,0.0,0,300.09063491708287
train_0004,0.5362478348388892,71.29406701409921,71.29608371538536,105.66172611512012,-0.6416873864121139,57.836367577188035,57.83992718897118,88.95043965741037,0.03469591004035055,107.41572429427245,107.4157298977637,169.06117819346701,-0.006645182001961715,0.38642101452817296,0.3864781480405091,0.6972086395944515,-0.008419612745054098,0.3109044016016832,0.3110183866173789,0.5596113949162684,-0.018443385330496095,0.47525939152832936,0.47561712300791587,0.8457380028713364,0.2103329092744472,0.04808876395899068,0.21576019545540914,0.3168969669566216,5.8303738703604555,0,294.16962612963954
train_0005,0.10495119369830586,71.1073371699256,71.10741462147631,110.28302640022517,0.3853045253877164,58.11080113346994,58.112078503104456,92.5936041214088,-0.9966519344284597,107.47286191205023,107.47748304945095,155.82326135841396,0.005065368110566605,0.39448586011136205,0.39451837952356117,0.7763409876017441,0.007973337926287306,0.3258854296857957,0.32598295568815017,0.6836819437316928,0.004490775993392537,0.4860122517478656,0.4860329987954043,0.9767779780093415,0.21029637678976132,0.04936231610491389,0.21601204675235755,0.34439544867653427,4.401139358730612,0,295.59886064126937
train_0006,-0.5696778558835499,72.17556130542417,72.17780948887633,106.70753611503187,0.7287041265521033,57.433038265162075,57.437660938374094,86.68239907615478,-0.9706552257836984,107.62161603981475,107.62599319211253,172.08798855189414,-0.02167382081187455,0.3961984230107602,0.3967908074852522,0.7358514119566677,0.010988289864017318,0.31472832017328944,0.3149200819783271,0.6309339368631562,0.011326900731924286,0.4736413698687005,0.47377678914367477,0.9123535612694458,0.2166557320684441,0.049902064653281585,0.22232841090327105,0.34989408761301,2.954006443801969,0,297.045993556198
train_0007,0.11641240546046927,71.53878112676317,71.53887584349556,106.97676145374442,-0.14720517892291574,57.82336343318412,57.8235508083929,93.44271986766884,-0.2864584389844678,108.03820626086986,108.03858602602834,170.3112416138249,-0.005634458007609351,0.41267922890713876,0.41271769175603584,0.6773986287291431,-0.007523881257689985,0.329027888499641,0.32911390155949355,0.6289233930641958,0.008058329881758135,0.4991962304666183,0.49926126746680877,0.8054602509583841,0.21922801026630262,0.052936800911358065,0.22552876840006655,0.35653971495202663,12.298404238431607,0,287.7015957615684
train_0008,0.12090856275777284,71.84848369963855,71.84858543365884,109.34845236094418,0.6424309139602128,57.59272408345801,57.596307041619745,86.769029266796,-0.24820048887649648,108.37229880376988,108.37258302493423,169.79750890908284,-0.014628376753279042,0.426497120214481,0.42674791500097725,0.8012542284889519,0.015060873047020805,0.33400870263651083,0.33434808707971336,0.6215768750062193,0.004447749959587827,0.5098700445921216,0.5098894437543056,1.0931137331840968,0.22835837912643012,0.05151711421695384,0.2340973352571384,0.33670190544605594,8.90817489977935,0,291.09182510022066
train_0009,-0.19287539257043662,71.15741561821187,71.15767701646817,117.14367138351575,0.7474424826035821,57.87170588716745,57.8765324855905,90.48579282885517,0.009088248419425321,108.76871898804404,108.76871936773162,166.5353126451708,0.003616288200099337,0.40003791744740813,0.4000542624894846,0.7854205883528869,0.014395484253883501,0.3154008142417435,0.31572916176884674,0.5812793328284838,0.005923971545453058,0.49386114111332813,0.49389666949740607,1.1052180369278204,0.22153838279501675,0.04405568920774176,0.22587642374316208,0.33904632781028965,20.964763113769138,0,279.03523688623085
train_0010,0.3667496795769252,73.24864753737616,73.24956567367639,109.64316755455573,0.6826234573561447,58.63782654561787,58.64179974027486,87.83532024129889,-0.5351802459674546,109.63145901408834,109.63276528234341,175.85259777704454,-0.0019344253274302245,0.42132274062161046,0.4213271813760089,0.6635981219424256,0.0037830467040267657,0.3291828610994527,0.32920459821209425,0.6465592619684815,0.0012654125717303857,0.5258050915957071,0.5258066142765292,0.9006845053559611,0.22548391248696173,0.046897115353743406,0.23030921435958687,0.3452818418683595,16.60792270186378,0,283.3920772981362
train_0011,0.08274515740538663,72.19587068007517,72.19591809801446,107.10957332966417,0.461513436947814,59.11414693922877,59.11594846575004,91.3937097520059,-0.6844772586712273,108.29020698942574,108.29237017874486,165.573307466826,0.005630468538193151,0.4197297353755016,0.4197674986636629,0.775770486118083,0.00734290617059012,0.33513933688820774,0.33521976880980286,0.6157556280520531,-0.008895276275052363,0.5250309186766942,0.5251062668703382,0.8644609532194583,0.22379849046312714,0.05076184339701585,0.22948317820406264,0.3404353146968526,24.50453995944458,0,275.49546004055543
train_0012,0.002400806563034985,72.512764740574,72.51276478031784,110.50892360481409,-0.037016328616521155,58.56411424647634,58.564125944838594,86.93323298412939,-0.14924017253035893,109.21984327460449,109.21994523693127,159.03302023833032,0.006147143422430907,0.430383159240618,0.4304270566892735,0.7889176431773681,-0.0038284383105455827,0.34036029350959496,0.34038182433531217,0.6556729004980798,-0.008541946942565729,0.5155133221556784,0.5155840864277658,0.8728654117720638,0.2451856811681282,0.05225737458478541,0.25069274311071227,0.3661239937437157,13.590907505072902,0,286.4090924949271
train_0013,-0.2264224027917594,72.91078319365546,72.91113476703484,105.63597175175562,0.004630943040952101,59.095881573106496,59.095881754554284,95.37355221029343,-0.10914160044621579,108.73322757947524,108.73328235521497,163.63793907546906,0.01304043566628349,0.422046127093183,0.42224754156385763,0.8335281039675619,0.00604846278630858,0.3562051170506711,0.3562564656468141,0.7114210043512728,-0.004868219976634003,0.5167821948945626,0.5168051243222948,0.8776701111246834,0.23570556162713208,0.04295912600147668,0.23958839347675528,0.3482115300877451,19.46145674258878,0,280.5385432574112
train_0014,0.2813085978910933,72.75583371298656,72.75637754725699,110.22568424023683,0.6911651125234948,58.70094657187265,58.70501543860301,93.6806200022412,-0.9057479027863498,109.71959147834998,109.72332994144595,169.81657294514088,0.01151091933017766,0.44389487787303517,0.4440441012621862,0.8016124603947213,0.008125603250187909,0.3567910317811354,0.35688354653531823,0.6828303391857629,0.02186235214111825,0.5437881021976779,0.5442273996528423,1.1170764957833343,0.2394517966943323,0.04826448535469399,0.24426752442086386,0.40132874559055276,16.752912651418477,0,283.24708734858154
